startdate,enddate,finished,q1,q5_1,q6,q7,q8,q9_1,q10_1,q11_1,q11_2,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q14_1,q14_2,q14_3,q14_4,q16,q22_pagesubmit,q24_pagesubmit,q23_pagesubmit,q25_1,q26_1,q27_1,q28_1,q29_1
2016-06-18 05:54:34,2016-06-18 06:02:40,True,I agree,1978,Female,Married,Non-Hispanic White or Euro-American,United States,10,2,0,$1001-$1500,6,9,,9,5.4,,John Beynard,John Roberts,Republicans,The Supreme Court,162.902,,,3,4,10,1,5.5
2016-06-18 07:39:56,2016-06-18 07:49:44,True,I agree,1983,Female,Married,Non-Hispanic White or Euro-American,United States,1,3,0,$3001 and more,7,7.4,5.2,10,8.4,,Harry Reid,John Roberts,Republicans,The Supreme Court,,,165.982,3,8.5,8.6,10,2.1
2016-06-18 07:52:29,2016-06-18 08:05:14,True,I agree,1995,Male,Single,Non-Hispanic White or Euro-American,United States,4,2,0,$1001-$1500,6.1,6.1,2.9,6.2,5,Secretary of Denfense,Mitch McConnell,John Roberts,Republican Party,The Supreme Court,,431.942,,2,8.8,8.8,4,2
2016-06-18 09:39:32,2016-06-18 09:46:46,True,I agree,1995,Male,Single,Latino or Hispanic American,United States,2,3,0,$3001 and more,1.3,1.4,1.6,1,1,Secretary of defense,Republican ,John Roberts ,Republican ,The Supreme Court,162.135,,,4.7,3.5,7.1,6.1,8.2
2016-06-18 09:44:15,2016-06-18 09:53:21,True,I agree,1990,Prefer not to disclose,Prefer not to disclose,Prefer not to disclose,Mexico,6.1,3,0,Prefer not to disclose,4,5.2,7.9,8,8,Defense Secretary,mitch mcconnell,John roberts,republican,The Supreme Court,257.901,,,8.1,3.5,9.1,8,10
2016-06-18 11:46:00,2016-06-18 11:58:26,True,I agree,1992,Female,Single,Non-Hispanic White or Euro-American,Poland,1,4,0,$0-$500,5,6,3,6,5,I don't know.,I don't know.,I don't know.,Democrats.,The Supreme Court,,,167.978,6.5,6.5,4.5,5.5,5.6
2016-06-18 12:25:17,2016-06-18 12:37:50,True,I agree,1991,Male,Single,Latino or Hispanic American,United States,3,3,0,$3001 and more,8,9,4,8,5,Sec Defense,Paul Ryan,John Roberts,Republican,The Supreme Court,,273.048,,2,8.5,3,9,2.5
2016-06-18 12:59:38,2016-06-18 13:06:49,True,I agree,1996,Female,Single,Latino or Hispanic American,United States,1,3,0,$0-$500,6.2,10,3,10,6.9,Secretary of Defense,Mitch McConnell,John Roberts,Republican,The Supreme Court,162.733,,,8.1,10,9.8,4,6.6
2016-06-18 14:31:52,2016-06-18 14:50:11,True,I agree,1987,Female,Single,Latino or Hispanic American,United States,9,3,0,$2001-$2500,9.9,9.8,7,9.1,8.5,Defense,,Roberts,Republicans,The Supreme Court,,,396.302,2,9,9,8,1.7
2016-06-18 17:38:55,2016-06-18 17:48:35,True,I agree,1994,Male,Single,Other,United States,8.1,4,0,$1001-$1500,10,10,10,10,10,Secratary of Defense,Harry Reid,John Roberts,Republicans,The Supreme Court,,248.548,,4.5,10,10,4,1.5
